replica,time,web_rt_mean,web_util,web_throughput,mit_rt_mean,mit_util,mit_throughput,arrivals_so_far,false_positives_so_far,mitigation_completions_so_far,spikes_count,scenario,mode,is_final,illegal_share,spike0_rt_mean,spike0_util,spike0_throughput,spike1_rt_mean,spike1_util,spike1_throughput,spike2_rt_mean,spike2_util,spike2_throughput,spike3_rt_mean,spike3_util,spike3_throughput
1,15200.0,3.1668546794285355,0.9999999336917735,6.244802631578947,0.0021139381851341663,0.28607807266324925,260.07723684210526,4039471,39496,3953174,50,finite simulation,finite simulation,False,0.9000586958044754,3.1365980189075957,0.9999982149725676,6.298618421052631,3.1223488205113514,0.9999807164530176,6.324868421052631,3.087278677771782,0.9999768497510557,6.390657894736842,3.110654976930907,0.9999649105029835,6.3384210526315785
1,15300.0,3.1626464240265033,0.9999999341251606,6.248366013071895,0.002113751093950941,0.2860612725459133,260.07228758169936,4065897,39744,3979106,50,finite simulation,finite simulation,False,0.9000419833557023,3.1357409994928966,0.9999982266394135,6.299411764705883,3.1193193872382317,0.9999808424892723,6.326078431372549,3.0878793907567217,0.9999770010598724,6.388169934640523,3.113270365123083,0.9999651398461014,6.33718954248366
1,15400.0,3.1642859167898867,0.9999999345529192,6.250454545454545,0.0021135447796864055,0.28606853080390526,260.08616883116883,4092679,40021,4005327,50,finite simulation,finite simulation,False,0.9000329612950344,3.135670558236903,0.999998238154742,6.293246753246753,3.1197772864656237,0.9999809668886926,6.32012987012987,3.085848538410536,0.9999771504036394,6.397207792207793,3.108393320680835,0.9999653662107371,6.3487012987012985
1,15500.0,3.157994000273466,0.9999999349751585,6.260387096774194,0.002113602570806802,0.2860858629530307,260.094,4119357,40283,4031457,50,finite simulation,finite simulation,False,0.9000203187050795,3.142263291320805,0.9999982495214855,6.292193548387097,3.1231180686502324,0.9999810896829592,6.3109032258064515,3.085564153143973,0.9999772978203901,6.395032258064516,3.10725434341306,0.9999655896545387,6.346387096774194
1,15600.0,3.1531253653068467,0.9999999353919844,6.2637820512820515,0.0021136453783055665,0.28607781153794826,260.0900641025641,4145913,40567,4057405,50,finite simulation,finite simulation,False,0.9000352877641186,3.135983138188644,0.9999982607425018,6.302371794871795,3.1252402909504844,0.9999812109029401,6.302948717948718,3.0898886086359694,0.9999774433471825,6.385320512820512,3.1071000242461113,0.9999658102336763,6.343653846153846
1,15700.0,3.1567554361617165,0.9999999358035004,6.256624203821656,0.0021138708763406124,0.28608711412290033,260.087898089172,4172506,40827,4083380,50,finite simulation,finite simulation,False,0.9000279448369877,3.1344998249612486,0.999998271820575,6.3084713375796175,3.132328467811155,0.9999813305787176,6.297515923566879,3.090376931892319,0.9999775870201304,6.385095541401274,3.113356554133976,0.9999660280028886,6.337707006369427
1,15800.0,3.160354526493988,0.9999999362098074,6.253544303797469,0.0021139342172430383,0.2860917668870234,260.07784810126583,4198940,41072,4109230,50,finite simulation,finite simulation,False,0.9000195287382053,3.1321226215923215,0.9999982827584194,6.3017088607594935,3.134935917137343,0.9999814487396118,6.29753164556962,3.092352880481172,0.9999777288744334,6.372405063291139,3.1111985252553995,0.9999662430155285,6.339177215189873
1,15900.0,3.162366703173389,0.9999999366110036,6.2557861635220124,0.002114258319135611,0.2861297160689468,260.1062893081761,4225997,41332,4135690,50,finite simulation,finite simulation,False,0.9000292711991986,3.1343981360806663,0.9999982935586809,6.2986163522012575,3.1372250454761264,0.9999815654142055,6.293836477987421,3.093519970259323,0.9999778689444054,6.377421383647799,3.1114635924339713,0.999966455323607,6.34
1,16000.0,3.155548998266597,0.9999999370071848,6.2660625,0.00211429517853523,0.2861432525323694,260.127,4252953,41628,4162032,50,finite simulation,finite simulation,False,0.9000031272388855,3.134658687294538,0.9999983042239392,6.307125,3.1382054410041613,0.9999816806303666,6.2915,3.0953116896647668,0.9999780072635029,6.3685625,3.1096337628626074,0.9999666649778344,6.3354375
1,16100.0,3.151260914865471,0.9999999373984445,6.27223602484472,0.0021144312648931946,0.28615395545795075,260.1398757763975,4279779,41893,4188252,50,finite simulation,finite simulation,False,0.9000062853712774,3.1315719984521158,0.9999983147567097,6.310434782608696,3.135339197143096,0.9999817944152712,6.289565217391305,3.095295070390617,0.9999781438643508,6.3673913043478265,3.113929465117896,0.9999668720276615,6.33416149068323
